# WARNING | PUMAS | Modeling multiple-scattering accurately for Rayleigh would require NMAX to be at least 1 and LMAX 2.
# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Sun Feb 25 03:19:28 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total N2 O2 CO2 H2O Rayleigh CIA
9.670588912e-01 7.20665e-01 9.99999e-01 9.99999e-01 9.99759e-01 8.85526e-01 8.14546e-01 9.99349e-01
9.718941857e-01 7.57733e-01 9.99999e-01 9.99999e-01 9.99982e-01 9.26948e-01 8.17853e-01 9.99520e-01
9.767536566e-01 7.70713e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.38968e-01 8.21108e-01 9.99633e-01
9.816374249e-01 7.86757e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.54563e-01 8.24311e-01 9.99872e-01
9.865456120e-01 8.03770e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.71392e-01 8.27462e-01 9.99973e-01
9.914783401e-01 8.15790e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.82219e-01 8.30564e-01 9.99992e-01
9.964357318e-01 8.25511e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.90282e-01 8.33615e-01 9.99995e-01
1.001417910e+00 8.31734e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.94169e-01 8.36617e-01 9.99992e-01
1.006425000e+00 8.36763e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.96665e-01 8.39570e-01 9.99990e-01
1.011457125e+00 8.40728e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.97934e-01 8.42475e-01 9.99990e-01
1.016514411e+00 8.44140e-01 9.99999e-01 9.99999e-01 9.99999e-01 9.98595e-01 8.45332e-01 9.99993e-01
1.021596983e+00 8.47154e-01 9.99999e-01 9.99999e-01 9.99960e-01 9.98879e-01 8.48142e-01 9.99993e-01
1.026704968e+00 8.47980e-01 9.99999e-01 9.99999e-01 9.97434e-01 9.99125e-01 8.50906e-01 9.99995e-01
1.031838492e+00 8.22038e-01 9.99999e-01 9.99999e-01 9.63591e-01 9.99365e-01 8.53624e-01 9.99998e-01
1.036997685e+00 1.86738e-01 9.99999e-01 9.99999e-01 2.18143e-01 9.99622e-01 8.56297e-01 9.99999e-01
1.042182673e+00 2.01914e-01 9.99999e-01 9.99999e-01 2.35175e-01 9.99548e-01 8.58925e-01 9.99999e-01
1.047393587e+00 2.00426e-01 9.99999e-01 9.99999e-01 2.32770e-01 9.99401e-01 8.61509e-01 9.99999e-01
1.052630555e+00 1.63080e-02 9.99999e-01 9.99999e-01 1.88859e-02 9.99178e-01 8.64049e-01 9.99999e-01
1.057893707e+00 3.51346e-02 9.99999e-01 9.99999e-01 4.05868e-02 9.98626e-01 8.66547e-01 9.99999e-01
1.063183176e+00 8.34285e-02 9.99999e-01 9.99999e-01 9.61724e-02 9.97742e-01 8.69002e-01 9.99998e-01
1.068499092e+00 1.76424e-01 9.99999e-01 9.99999e-01 2.03134e-01 9.96227e-01 8.71415e-01 9.99996e-01
1.073841587e+00 3.19611e-01 9.99999e-01 9.99999e-01 3.67224e-01 9.95575e-01 8.73788e-01 9.99993e-01
1.079210795e+00 4.62526e-01 9.99999e-01 9.99999e-01 5.30747e-01 9.94353e-01 8.76119e-01 9.99984e-01
1.084606849e+00 6.16213e-01 9.99999e-01 9.99999e-01 7.07397e-01 9.91445e-01 8.78411e-01 9.99963e-01
