CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
4.95411,,2.1826,0.0354,-0.0354,JWST Transiting Exoplanet Community ERS Team 2022,0.14774,0.00119,-0.0012,JWST Transiting Exoplanet Community ERS Team 2022,1.2867,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.96201,,2.1941,0.0353,-0.0353,JWST Transiting Exoplanet Community ERS Team 2022,0.14812,0.00119,-0.0012,JWST Transiting Exoplanet Community ERS Team 2022,1.2901,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.96989,,2.2139,0.0355,-0.0355,JWST Transiting Exoplanet Community ERS Team 2022,0.14879,0.00119,-0.0012,JWST Transiting Exoplanet Community ERS Team 2022,1.2959,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.97776,,2.1522,0.0356,-0.0356,JWST Transiting Exoplanet Community ERS Team 2022,0.1467,0.00121,-0.00122,JWST Transiting Exoplanet Community ERS Team 2022,1.2777,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.98562,,2.1147,0.0354,-0.0354,JWST Transiting Exoplanet Community ERS Team 2022,0.14542,0.00121,-0.00122,JWST Transiting Exoplanet Community ERS Team 2022,1.2665,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
4.99346,,2.1181,0.0362,-0.0362,JWST Transiting Exoplanet Community ERS Team 2022,0.14554,0.00124,-0.00125,JWST Transiting Exoplanet Community ERS Team 2022,1.2675,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.00129,,2.1627,0.0369,-0.0369,JWST Transiting Exoplanet Community ERS Team 2022,0.14706,0.00125,-0.00126,JWST Transiting Exoplanet Community ERS Team 2022,1.2808,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.0091,,2.1678,0.037,-0.037,JWST Transiting Exoplanet Community ERS Team 2022,0.14723,0.00125,-0.00126,JWST Transiting Exoplanet Community ERS Team 2022,1.2823,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.01691,,2.1587,0.0372,-0.0372,JWST Transiting Exoplanet Community ERS Team 2022,0.14693,0.00126,-0.00127,JWST Transiting Exoplanet Community ERS Team 2022,1.2796,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.02469,,2.1386,0.0378,-0.0378,JWST Transiting Exoplanet Community ERS Team 2022,0.14624,0.00129,-0.0013,JWST Transiting Exoplanet Community ERS Team 2022,1.2737,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.03247,,2.1219,0.0379,-0.0379,JWST Transiting Exoplanet Community ERS Team 2022,0.14567,0.0013,-0.00131,JWST Transiting Exoplanet Community ERS Team 2022,1.2687,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.04023,,2.1434,0.0376,-0.0376,JWST Transiting Exoplanet Community ERS Team 2022,0.1464,0.00128,-0.00129,JWST Transiting Exoplanet Community ERS Team 2022,1.2751,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.04798,,2.1783,0.0375,-0.0375,JWST Transiting Exoplanet Community ERS Team 2022,0.14759,0.00126,-0.00128,JWST Transiting Exoplanet Community ERS Team 2022,1.2854,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.05572,,2.1584,0.0373,-0.0373,JWST Transiting Exoplanet Community ERS Team 2022,0.14691,0.00126,-0.00127,JWST Transiting Exoplanet Community ERS Team 2022,1.2795,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
5.06344,,2.1685,0.036,-0.036,JWST Transiting Exoplanet Community ERS Team 2022,0.14726,0.00122,-0.00123,JWST Transiting Exoplanet Community ERS Team 2022,1.2825,,,JWST Transiting Exoplanet Community ERS Team 2022,,,,0.895,0.023,-0.023,Faedi et al. 2011
