# ------------------------------------------------------------------------
# NASA-GSFC Planetary Spectrum Generator (PSG, Villanueva et al. 2018, 2022)
# Atmospheric transmittance spectrum synthesized with PUMAS
# Synthesized on Sun Jan 28 17:00:05 2024
# Spectral unit: Wavelength [um]
# ------------------------------------------------------------------------
# Wave/freq Total CO2 N2 CO O2 SO2 H2O Rayleigh CIA
7.765084837e-01 1.36138e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.36138e-06 1.21596e-06
7.803910261e-01 1.36145e-06 1.22002e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.35956e-06 1.21596e-06
7.842929812e-01 1.36822e-06 1.23918e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21604e-06 1.35775e-06 1.21596e-06
7.882144461e-01 1.36669e-06 1.23857e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21688e-06 1.35595e-06 1.21596e-06
7.921555184e-01 1.35751e-06 1.22327e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21682e-06 1.35416e-06 1.21596e-06
7.961162960e-01 1.35336e-06 1.21754e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21698e-06 1.35238e-06 1.21596e-06
8.000968774e-01 1.35121e-06 1.21642e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21702e-06 1.35060e-06 1.21596e-06
8.040973618e-01 1.34952e-06 1.21675e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21677e-06 1.34884e-06 1.21596e-06
8.081178486e-01 1.34746e-06 1.21617e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21663e-06 1.34709e-06 1.21596e-06
8.121584379e-01 1.34689e-06 1.21615e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21951e-06 1.34534e-06 1.21596e-06
8.162192301e-01 1.34769e-06 1.21598e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.22506e-06 1.34361e-06 1.21596e-06
8.203003262e-01 1.34421e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.22095e-06 1.34189e-06 1.21596e-06
8.244018279e-01 1.34263e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.22127e-06 1.34017e-06 1.21596e-06
8.285238370e-01 1.34100e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.22137e-06 1.33847e-06 1.21596e-06
8.326664562e-01 1.33836e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21939e-06 1.33679e-06 1.21596e-06
8.368297885e-01 1.33572e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21731e-06 1.33511e-06 1.21596e-06
8.410139374e-01 1.33377e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21666e-06 1.33345e-06 1.21596e-06
8.452190071e-01 1.33192e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21622e-06 1.33179e-06 1.21596e-06
8.494451021e-01 1.33028e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21620e-06 1.33016e-06 1.21596e-06
8.536923276e-01 1.32863e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21615e-06 1.32853e-06 1.21596e-06
8.579607893e-01 1.32696e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21604e-06 1.32692e-06 1.21596e-06
8.622505932e-01 1.32533e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21598e-06 1.32532e-06 1.21596e-06
8.665618462e-01 1.32956e-06 1.22541e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.32373e-06 1.21596e-06
8.708946554e-01 1.34463e-06 1.25477e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.32216e-06 1.21596e-06
8.752491287e-01 1.32940e-06 1.23205e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21597e-06 1.32060e-06 1.21596e-06
8.796253743e-01 1.32011e-06 1.21789e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21603e-06 1.31906e-06 1.21596e-06
8.840235012e-01 1.31768e-06 1.21609e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21610e-06 1.31753e-06 1.21596e-06
8.884436187e-01 1.31616e-06 1.21597e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21622e-06 1.31602e-06 1.21596e-06
8.928858368e-01 1.31557e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21790e-06 1.31452e-06 1.21596e-06
8.973502660e-01 1.31969e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.21596e-06 1.22760e-06 1.31303e-06 1.21596e-06
