CENTRALWAVELNG,BANDWIDTH,PL_TRANDEP,PL_TRANDEPERR1,PL_TRANDEPERR2,PL_TRANDEP_AUTHORS,PL_RATROR,PL_RATRORERR1,PL_RATRORERR2,PL_RATROR_AUTHORS,PL_RADJ,PL_RADJERR1,PL_RADJERR2,PL_RADJ_AUTHORS,PL_TRANMID,PL_TRANMIDERR1,PL_TRANMIDERR2,ST_RAD,ST_RADERR1,ST_RADERR2,ST_RAD_AUTHORS
3.11152,6.8E-4,0.1143,0.0144,-0.0144,Lustig-Yaeger et al. 2023,0.03381,0.00207,-0.0022,Calculated,0.0918,0.0058,-0.0058,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.11219,6.8E-4,0.0997,0.0145,-0.0145,Lustig-Yaeger et al. 2023,0.03158,0.00222,-0.00239,Calculated,0.0857,0.0062,-0.0062,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.11287,6.8E-4,0.1116,0.0157,-0.0157,Lustig-Yaeger et al. 2023,0.03341,0.00227,-0.00244,Calculated,0.0907,0.0064,-0.0064,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.11354,6.8E-4,0.0664,0.0147,-0.0147,Lustig-Yaeger et al. 2023,0.02577,0.00271,-0.00303,Calculated,0.0699,0.0077,-0.0077,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.11422,6.8E-4,0.076,0.0144,-0.0144,Lustig-Yaeger et al. 2023,0.02757,0.0025,-0.00275,Calculated,0.0748,0.0071,-0.0071,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.1149,6.8E-4,0.0902,0.0138,-0.0138,Lustig-Yaeger et al. 2023,0.03003,0.00222,-0.00239,Calculated,0.0815,0.0062,-0.0062,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.11557,6.8E-4,0.1186,0.0144,-0.0144,Lustig-Yaeger et al. 2023,0.03444,0.00203,-0.00216,Calculated,0.0935,0.0057,-0.0057,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.11625,6.8E-4,0.1232,0.0144,-0.0144,Lustig-Yaeger et al. 2023,0.0351,0.00199,-0.00212,Calculated,0.0953,0.0056,-0.0056,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.11692,6.8E-4,0.1009,0.0156,-0.0156,Lustig-Yaeger et al. 2023,0.03176,0.00237,-0.00256,Calculated,0.0862,0.0067,-0.0067,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.1176,6.8E-4,0.09,0.0134,-0.0134,Lustig-Yaeger et al. 2023,0.03,0.00216,-0.00232,Calculated,0.0814,0.0061,-0.0061,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.11827,6.8E-4,0.087,0.0155,-0.0155,Lustig-Yaeger et al. 2023,0.0295,0.00252,-0.00276,Calculated,0.0801,0.0071,-0.0071,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
3.11895,6.8E-4,0.1026,0.0146,-0.0146,Lustig-Yaeger et al. 2023,0.03203,0.0022,-0.00237,Calculated,0.0869,0.0062,-0.0062,Calculated,,,,0.2789,0.0014,-0.0014,Lustig-Yaeger et al. 2023
