141 2065.063197 1.497E-79 1.773E+02.00820.05229900.06180.50-.023000              8              7                    P 19      252623 5 3 2 1 2 2   148.0  156.0
141 2066.461738 2.118E-64 1.055E+02.00820.05222725.37370.50-.023000              2              1                    P 32      462623 5 3 2 1 2 2   252.0  260.0
141 2069.039513 9.226E-72 1.796E+02.00820.05226277.75830.50-.023000              5              4                    P 26      462623 5 3 2 1 2 2   204.0  212.0
141 2071.767221 5.491E-85 1.123E+02.00830.05632299.03300.50-.023000             10              9                    P 13      252623 5 3 2 1 2 2   100.0  108.0
141 2072.698556 1.262E-66 1.435E+02.00820.05223827.84100.50-.023000              3              2                    P 30      462623 5 3 2 1 2 2   236.0  244.0
141 2073.681826 4.332E-69 1.687E+02.00820.05225013.98320.50-.023000              4              3                    P 28      462623 5 3 2 1 2 2   220.0  228.0
141 2074.297212 1.297E-99 1.167E-02.10500.60136903.99950.550.001900             13             12                    R  0      252623 5 3 2 1 2 2    12.0    4.0
141 2075.462849 6.055E-92 2.432E+01.03100.36735069.18020.22-.010900             12             11                    P  5      252623 5 3 2 1 2 2    36.0   44.0
141 2075.857865 4.982E-82 1.505E+02.00820.05331001.53770.50-.023000              9              8                    P 16      252623 5 3 2 1 2 2   124.0  132.0
141 2088.286171 6.137E-88 6.756E+01.01030.08833510.05060.50-.023100             11             10                    P  9      252623 5 3 2 1 2 2    68.0   76.0
141 2091.730004 3.021E-76 1.980E+02.00820.05228373.02160.50-.023000              7              6                    P 21      262623 5 3 2 1 2 2   164.0  172.0
141 2095.418183 4.606E-98 2.852E-01.08950.66436928.12830.51-.002300             13             12                    R  1      252623 5 3 2 1 2 2    20.0   12.0
141 2106.280037 7.811E-92 2.242E+01.05020.54234942.27750.50-.009200             12             11                    P  4      252623 5 3 2 1 2 2    28.0   36.0
141 2111.093618 4.372E-73 2.064E+02.00820.05226899.78200.50-.023000              6              5                    P 23      362623 5 3 2 1 2 2   180.0  188.0
141 2112.998360 1.944E-78 1.834E+02.00820.05229358.63070.50-.023000              8              7                    P 18      252623 5 3 2 1 2 2   140.0  148.0
141 2113.157911 2.728E-84 1.137E+02.00850.05931946.38200.50-.023000             10              9                    P 12      252623 5 3 2 1 2 2    92.0  100.0
141 2114.967167 1.796E-97 1.023E+00.07050.65336976.34300.49-.006300             13             12                    R  2      252623 5 3 2 1 2 2    28.0   20.0
141 2117.011240 3.497E-60 6.017E+01.00820.05220608.36240.50-.023000              1              0                    P 33      462623 5 3 2 1 2 2   260.0  268.0
141 2120.704669 4.001E-81 1.543E+02.00820.05330555.52070.50-.023000              9              8                    P 15      252623 5 3 2 1 2 2   116.0  124.0
141 2123.783276 4.102E-70 1.891E+02.00820.05225488.72150.50-.023000              5              4                    P 25      462623 5 3 2 1 2 2   196.0  204.0
141 2124.797469 1.632E-87 6.648E+01.01160.11433272.68550.50-.021600             11             10                    P  8      252623 5 3 2 1 2 2    60.0   68.0
141 2126.587430 2.969E-62 1.114E+02.00820.05221701.25350.50-.023000              2              1                    P 31      462623 5 3 2 1 2 2   244.0  252.0
141 2130.316621 2.813E-67 1.778E+02.00820.05224147.44160.50-.023000              4              3                    P 27      462623 5 3 2 1 2 2   212.0  220.0
141 2131.127849 1.202E-64 1.513E+02.00820.05222882.85540.50-.023000              3              2                    P 29      462623 5 3 2 1 2 2   228.0  236.0
141 2132.896826 3.635E-97 2.326E+00.05050.53237048.55760.55-.016700             13             12                    R  3      252623 5 3 2 1 2 2    36.0   28.0
141 2135.840828 8.183E-92 2.062E+01.07270.70534840.50220.44-.009800             12             11                    P  3      252623 5 3 2 1 2 2    20.0   28.0
141 2141.950644 5.650E-75 2.055E+02.00820.05227758.11120.50-.023000              7              6                    P 20      262623 5 3 2 1 2 2   156.0  164.0
141 2149.158225 5.057E-97 4.288E+00.03420.37837144.64300.43-.024000             13             12                    R  4      252623 5 3 2 1 2 2    44.0   36.0
141 2153.674072 1.187E-83 1.144E+02.00870.06431618.79870.50-.023000             10              9                    P 11      252623 5 3 2 1 2 2    84.0   92.0
141 2160.249509 3.746E-87 6.497E+01.01450.16033060.75000.40-.019200             11             10                    P  7      252623 5 3 2 1 2 2    52.0   60.0
141 2160.342123 2.233E-77 1.889E+02.00820.05228841.19560.50-.023000              8              7                    P 17      252623 5 3 2 1 2 2   132.0  140.0
141 2163.499394 1.186E-71 2.149E+02.00820.05226209.52230.50-.023000              6              5                    P 22      362623 5 3 2 1 2 2   172.0  180.0
141 2163.700685 5.377E-97 7.000E+00.02300.24437264.42750.65-.027000             13             12                    R  5      252623 5 3 2 1 2 2    52.0   44.0
