171 1691.708927 8.189E-38 7.568E-03.01900.013 7955.07030.50-.002800              3              2                    P 24      452623 4 3 2 1 0 1   564.0  588.0
171 1693.833091 6.424E-46 5.591E-01.06340.08412218.33190.50-.003300              7              6                    P  3      224624 4 3 2 1 0 1    60.0   84.0
171 1695.574908 3.321E-41 3.890E-02.02050.039 9798.35330.50-.002800              5              4                    P 15      354623 4 3 2 1 0 1   348.0  372.0
171 1696.291449 1.800E-33 2.240E-02.01900.011 6174.03430.50-.002800              1              0                    P 31      462623 4 3 2 1 0 1   732.0  756.0
171 1703.804738 5.799E-43 1.808E-01.03490.06910835.38260.50-.003700              6              5                    P  9      424624 4 3 2 1 0 1   204.0  228.0
171 1705.317916 5.331E-46 6.704E-01.06960.08712186.16080.50-.002500              7              6                    P  2      224624 4 3 2 1 0 1    36.0   60.0
171 1706.775072 5.283E-35 1.966E-02.01900.011 6841.58890.50-.002800              2              1                    P 27      452623 4 3 2 1 0 1   636.0  660.0
171 1707.110712 3.764E-40 1.408E-03.01900.024 8663.52290.50-.002800              4              3                    P 19      452623 4 3 2 1 0 1   444.0  468.0
171 1710.590810 2.229E-37 5.622E-03.01900.014 7674.41300.50-.002800              3              2                    P 23      452623 4 3 2 1 0 1   540.0  564.0
171 1711.601178 8.250E-41 4.647E-02.02190.044 9629.21130.50-.002800              5              4                    P 14      354623 4 3 2 1 0 1   324.0  348.0
171 1716.428150 3.146E-46 1.083E+00.07610.08912164.70480.50-.001000              7              6                    P  1      224624 4 3 2 1 0 1    12.0   36.0
171 1717.170566 9.577E-33 2.048E-02.01900.011 5799.78980.50-.002800              1              0                    P 30      462623 4 3 2 1 0 1   708.0  732.0
171 1717.702799 9.131E-43 2.024E-01.03870.07210736.07520.50-.004200              6              5                    P  8      424624 4 3 2 1 0 1   180.0  204.0
171 1724.492998 2.005E-39 2.793E-03.01900.026 8444.65360.50-.002800              4              3                    P 18      452623 4 3 2 1 0 1   420.0  444.0
171 1726.574501 2.055E-34 1.702E-02.01900.011 6519.85290.50-.002800              2              1                    P 26      452623 4 3 2 1 0 1   612.0  636.0
171 1727.329461 1.917E-40 5.504E-02.02370.048 9471.00720.50-.002800              5              4                    P 13      354623 4 3 2 1 0 1   300.0  324.0
171 1729.227189 5.364E-37 3.898E-03.01900.016 7404.57120.50-.002800              3              2                    P 22      452623 4 3 2 1 0 1   516.0  540.0
171 1731.267302 1.339E-42 2.264E-01.04280.07610647.68670.50-.004300              6              5                    P  7      424624 4 3 2 1 0 1   156.0  180.0
171 1737.504539 3.739E-46 4.174E-01.07610.08812153.97420.50-.000100              7              6                    R  0      224624 4 3 2 1 0 1    36.0   12.0
171 1737.845632 4.792E-32 1.855E-02.01900.011 5436.15670.50-.002800              1              0                    P 29      462623 4 3 2 1 0 1   684.0  708.0
171 1741.602434 8.617E-39 4.727E-03.01900.031 8236.75580.50-.002800              4              3                    P 17      452623 4 3 2 1 0 1   396.0  420.0
171 1742.755859 4.164E-40 6.469E-02.02590.054 9323.81080.50-.002800              5              4                    P 12      354623 4 3 2 1 0 1   276.0  300.0
171 1744.493911 1.819E-42 2.533E-01.04740.08010570.25790.50-.003800              6              5                    P  6      424624 4 3 2 1 0 1   132.0  156.0
171 1746.147668 7.434E-34 1.446E-02.01900.011 6208.92260.50-.002800              2              1                    P 25      452623 4 3 2 1 0 1   588.0  612.0
171 1747.460186 7.528E-46 5.373E-01.06960.08712164.70480.50-.002300              7              6                    R  1      224624 4 3 2 1 0 1    60.0   36.0
171 1747.614470 1.102E-36 2.436E-03.01900.018 7145.65600.50-.002800              3              2                    P 21      452623 4 3 2 1 0 1   492.0  516.0
171 1757.020220 1.078E-45 6.168E-01.06340.08412186.16080.50-.002600              7              6                    R  2      224624 4 3 2 1 0 1    84.0   60.0
171 1757.378173 2.272E-42 2.842E-01.05240.08110503.82430.50-.004500              6              5                    P  5      424624 4 3 2 1 0 1   108.0  132.0
171 1757.876357 8.454E-40 7.552E-02.02850.059 9187.68700.50-.002800              5              4                    P 11      364623 4 3 2 1 0 1   252.0  276.0
171 1758.313032 2.251E-31 1.663E-02.01900.011 5083.27590.50-.002800              1              0                    P 28      462623 4 3 2 1 0 1   660.0  684.0
171 1758.435228 3.177E-38 7.265E-03.01900.034 8039.91800.50-.002800              4              3                    P 16      452623 4 3 2 1 0 1   372.0  396.0
171 1760.464881 2.734E-60 4.121E+00.01900.01119994.06380.50-.002800              7              6                    R 39      222623 4 3 2 1 0 1   972.0  948.0
171 1765.490905 2.491E-33 1.202E-02.01900.013 5908.92210.50-.002800              2              1                    P 24      452623 4 3 2 1 0 1   564.0  588.0
171 1765.748931 1.799E-36 1.279E-03.01900.020 6897.77390.50-.002800              3              2                    P 20      452623 4 3 2 1 0 1   468.0  492.0
171 1766.179022 1.302E-45 6.843E-01.05770.08312218.33190.50-.002800              7              6                    R  3      224624 4 3 2 1 0 1   108.0   84.0
171 1769.915523 2.578E-42 3.211E-01.05770.08310448.41640.50-.004700              6              5                    P  4      424624 4 3 2 1 0 1    84.0  108.0
171 1772.119915 1.517E-59 4.003E+00.01900.01119627.67600.50-.002800              7              6                    R 38      222623 4 3 2 1 0 1   948.0  924.0
171 1772.686830 1.602E-39 8.762E-02.03150.064 9062.69580.50-.002800              5              4                    P 10      364623 4 3 2 1 0 1   228.0  252.0
171 1774.930823 1.398E-45 7.477E-01.05240.08112261.20250.50-.003300              7              6                    R  4      224624 4 3 2 1 0 1   132.0  108.0
171 1774.987468 1.036E-37 1.046E-02.02050.039 7854.22390.50-.002800              4              3                    P 15      454623 4 3 2 1 0 1   348.0  372.0
171 1778.569022 9.903E-31 1.474E-02.01900.011 4741.28390.50-.002800              1              0                    P 27      462623 4 3 2 1 0 1   636.0  660.0
171 1782.101286 2.592E-42 3.694E-01.06340.08410404.05950.50-.003300              6              5                    P  3      424624 4 3 2 1 0 1    60.0   84.0
171 1782.871543 8.141E-59 3.884E+00.01900.01119268.02660.50-.002800              7              6                    R 37      222623 4 3 2 1 0 1   924.0  900.0
171 1783.269700 1.366E-45 8.101E-01.04740.07912314.75180.50-.004500              7              6                    R  5      224624 4 3 2 1 0 1   156.0  132.0
171 1783.626729 1.942E-36 4.699E-04.01900.024 6661.02690.50-.002800              3              2                    P 19      452623 4 3 2 1 0 1   444.0  468.0
171 1784.600423 7.683E-33 9.709E-03.01900.014 5619.97070.50-.002800              2              1                    P 23      452623 4 3 2 1 0 1   540.0  564.0
171 1787.183048 2.831E-39 1.011E-01.03490.069 8948.89210.50-.003700              5              4                    P  9      364624 4 3 2 1 0 1   204.0  228.0
171 1791.189568 1.232E-45 8.728E-01.04280.07612378.95400.50-.005600              7              6                    R  6      224624 4 3 2 1 0 1   180.0  156.0
171 1791.255138 3.040E-37 1.438E-02.02190.044 7679.75210.50-.002800              4              3                    P 14      454623 4 3 2 1 0 1   324.0  348.0
171 1792.758185 4.219E-58 3.763E+00.01900.01118915.33630.50-.002800              7              6                    R 36      222623 4 3 2 1 0 1   900.0  876.0
171 1793.930683 2.192E-42 4.487E-01.06960.08710370.77410.50-.002500              6              5                    P  2      424624 4 3 2 1 0 1    36.0   60.0
171 1798.609739 4.071E-30 1.289E-02.01900.011 4410.31290.50-.002800              1              0                    P 26      462623 4 3 2 1 0 1   612.0  636.0
171 1798.684178 1.033E-45 9.367E-01.03870.07312453.77800.50-.005200              7              6                    R  7      224624 4 3 2 1 0 1   204.0  180.0
171 1801.243915 5.774E-37 5.034E-05.01900.026 6435.51190.50-.002800              3              2                    P 18      452623 4 3 2 1 0 1   420.0  444.0
171 1801.360686 4.653E-39 1.162E-01.03870.072 8846.32600.50-.004200              5              4                    P  8      364624 4 3 2 1 0 1   180.0  204.0
171 1801.814408 2.110E-57 3.642E+00.01900.01118569.81680.50-.002800              7              6                    R 35      222623 4 3 2 1 0 1   876.0  852.0
171 1803.472320 2.164E-32 7.574E-03.01900.016 5342.18370.50-.002800              2              1                    P 22      452623 4 3 2 1 0 1   516.0  540.0
171 1805.398832 1.314E-42 7.340E-01.07610.08910348.57540.50-.001000              6              5                    P  1      424624 4 3 2 1 0 1    12.0   36.0
171 1805.747104 8.095E-46 1.002E+00.03490.07012539.18740.50-.004500              7              6                    R  8      224624 4 3 2 1 0 1   228.0  204.0
171 1807.234120 8.108E-37 1.908E-02.02370.048 7516.57670.50-.002800              4              3                    P 13      454623 4 3 2 1 0 1   300.0  324.0
171 1810.071469 1.017E-56 3.520E+00.01900.01118231.67200.50-.002800              7              6                    R 34      222623 4 3 2 1 0 1   852.0  828.0
171 1812.371738 5.946E-46 1.070E+00.03150.06412635.14070.50-.004100              7              6                    R  9      224624 4 3 2 1 0 1   252.0  228.0
171 1815.215322 7.091E-39 1.332E-01.04280.076 8755.04260.50-.004300              5              4                    P  7      364624 4 3 2 1 0 1   156.0  180.0
171 1817.557761 4.721E-56 3.399E+00.01900.01117901.09800.50-.002800              7              6                    R 33      222623 4 3 2 1 0 1   828.0  804.0
171 1818.431208 1.559E-29 1.109E-02.01900.011 4090.49090.50-.002800              1              0                    P 25      462623 4 3 2 1 0 1   588.0  612.0
171 1818.551277 4.106E-46 1.139E+00.02850.06012741.59130.50-.003000              7              6                    R 10      224624 4 3 2 1 0 1   276.0  252.0
171 1818.596437 1.908E-36 6.349E-05.01900.031 6221.32160.50-.002800              3              2                    P 17      452623 4 3 2 1 0 1   396.0  420.0
171 1822.102587 5.500E-32 5.642E-03.01900.018 5075.67140.50-.002800              2              1                    P 21      452623 4 3 2 1 0 1   492.0  516.0
171 1822.920206 1.978E-36 2.461E-02.02590.054 7364.76680.50-.002800              4              3                    P 12      454623 4 3 2 1 0 1   276.0  300.0
171 1824.278711 2.671E-46 1.211E+00.02590.05412858.48740.50-.001900              7              6                    R 11      224624 4 3 2 1 0 1   300.0  276.0
171 1824.299189 2.108E-55 3.279E+00.01900.01117578.28350.50-.002800              7              6                    R 32      222623 4 3 2 1 0 1   804.0  780.0
171 1827.231351 1.600E-42 2.890E-01.07610.08810337.47340.50-.000100              6              5                    R  0      424624 4 3 2 1 0 1    36.0   12.0
171 1828.742453 9.973E-39 1.523E-01.04740.080 8675.08180.50-.003800              5              4                    P  6      364624 4 3 2 1 0 1   132.0  156.0
171 1829.546810 1.639E-46 1.285E+00.02370.04912985.77170.50-.001300              7              6                    R 12      224624 4 3 2 1 0 1   324.0  300.0
171 1830.319484 9.046E-55 3.160E+00.01900.01117263.41020.50-.002800              7              6                    R 31      222623 4 3 2 1 0 1   780.0  756.0
171 1834.348109 9.508E-47 1.362E+00.02190.04413123.38210.50-.001400              7              6                    R 13      224624 4 3 2 1 0 1   348.0  324.0
171 1835.640473 3.727E-54 3.042E+00.01900.01116956.65310.50-.002800              7              6                    R 30      222623 4 3 2 1 0 1   756.0  732.0
171 1835.680148 4.101E-35 5.524E-04.01900.034 6018.54370.50-.002800              3              2                    P 16      452623 4 3 2 1 0 1   372.0  396.0
171 1837.585455 3.248E-42 3.758E-01.06960.08710348.57540.50-.002300              6              5                    R  1      424624 4 3 2 1 0 1    60.0   36.0
171 1838.029352 5.540E-29 9.370E-03.01900.013 3781.94140.50-.002800              1              0                    P 24      462623 4 3 2 1 0 1   564.0  588.0
171 1838.309100 4.435E-36 3.106E-02.02850.059 7224.38670.50-.002800              4              3                    P 11      464623 4 3 2 1 0 1   252.0  276.0
171 1838.674885 5.216E-47 1.441E+00.02050.03913271.25090.50-.002800              7              6                    R 14      224623 4 3 2 1 0 1   372.0  348.0
171 1840.282302 1.473E-53 2.925E+00.01900.01116658.18030.50-.002800              7              6                    R 29      222623 4 3 2 1 0 1   732.0  708.0
