221 2278.025716 1.031E-37 1.197E-08.02000.020 4946.71520.200.000000              2              1                    Q 36q     344440 4 3 2 1 1 0   438.0  438.0
221 2279.282302 9.957E-38 1.199E-08.02000.020 4805.78700.200.000000              2              1                    Q 35q     344440 4 3 2 1 1 0   213.0  213.0
221 2280.112167 1.263E-39 6.037E-09.02000.020 5647.28830.200.000000              1              0                    Q 53q     344440 4 3 2 1 1 0   321.0  321.0
221 2280.503873 3.772E-37 1.202E-08.02000.020 4668.71660.200.000000              2              1                    Q 34q     344440 4 3 2 1 1 0   414.0  414.0
221 2281.498238 1.474E-33 2.803E-08.05620.056 2353.57740.770.000000              2              1                    O  3q     344440 4 3 2 1 1 0     9.0   21.0
221 2281.690439 3.502E-37 1.204E-08.02000.020 4535.50860.200.000000              2              1                    Q 33q     344440 4 3 2 1 1 0   201.0  201.0
221 2281.959652 6.806E-39 6.055E-09.02000.020 5439.79940.200.000000              1              0                    Q 52q     344440 4 3 2 1 1 0   630.0  630.0
221 2282.842009 1.275E-36 1.206E-08.02000.020 4406.16770.200.000000              2              1                    Q 32q     344440 4 3 2 1 1 0   390.0  390.0
221 2283.772036 8.998E-39 6.074E-09.02000.020 5236.10070.200.000000              1              0                    Q 51q     344440 4 3 2 1 1 0   309.0  309.0
221 2283.958593 1.138E-36 1.208E-08.02000.020 4280.69860.200.000000              2              1                    Q 31q     344440 4 3 2 1 1 0   189.0  189.0
221 2284.179972 3.990E-38 1.466E-08.06630.066 4631.16610.810.000000              3              2                    S  0q     344440 4 3 2 1 1 0    30.0    6.0
221 2285.040199 3.985E-36 1.211E-08.02000.020 4159.10550.200.000000              2              1                    Q 30q     344440 4 3 2 1 1 0   366.0  366.0
221 2285.549336 4.669E-38 6.091E-09.02000.020 5036.19950.200.000000              1              0                    Q 50q     344440 4 3 2 1 1 0   606.0  606.0
221 2285.800938 2.019E-28 1.037E-08.05120.051   83.55270.750.000000              1              0                    O  6q     344440 4 3 2 1 1 0    54.0   78.0
221 2286.086835 3.418E-36 1.213E-08.02000.020 4041.39280.200.000000              2              1                    Q 29q     344440 4 3 2 1 1 0   177.0  177.0
221 2287.098510 1.149E-35 1.215E-08.02000.020 3927.56450.200.000000              2              1                    Q 28q     344440 4 3 2 1 1 0   342.0  342.0
221 2287.291567 5.944E-38 6.109E-09.02000.020 4840.10260.200.000000              1              0                    Q 49q     344440 4 3 2 1 1 0   297.0  297.0
221 2288.075231 9.470E-36 1.217E-08.02000.020 3817.62480.200.000000              2              1                    Q 27q     344440 4 3 2 1 1 0   165.0  165.0
221 2288.998742 2.970E-37 6.127E-09.02000.020 4647.81680.200.000000              1              0                    Q 48q     344440 4 3 2 1 1 0   582.0  582.0
221 2289.017005 3.058E-35 1.219E-08.02000.020 3711.57730.200.000000              2              1                    Q 26q     344440 4 3 2 1 1 0   318.0  318.0
221 2289.421370 1.766E-33 4.790E-08.05880.059 2341.74470.780.000000              2              1                    O  2q     344440 4 3 2 1 1 0     6.0   30.0
221 2289.923840 2.420E-35 1.221E-08.02000.020 3609.42590.200.000000              2              1                    Q 25q     344440 4 3 2 1 1 0   153.0  153.0
221 2290.670876 3.640E-37 6.144E-09.02000.020 4459.34900.200.000000              1              0                    Q 47q     344440 4 3 2 1 1 0   285.0  285.0
