 41 1611.804540 8.064E-25 1.565E-02.07550.096 1344.45540.73-.001960        0 1 1 1        0 2 0 0                    P 20e     465544 6 5 5 3 3 3   351.0  369.0
 41 1611.824110 1.246E-24 2.764E-02.08370.105 1223.95640.72-.001733        0 1 1 1        0 2 2 0                    P 10f     465544 6 5 5 3 3 3   171.0  189.0
 41 1611.871130 1.161E-23 1.712E-02.07330.092  861.15820.74-.001984        0 0 0 1        0 1 1 0                    P 25e     465544 6 5 5 3 3 3   441.0  459.0
 41 1611.940200 2.072E-25 4.454E-02.06810.080 2008.88250.77-.001892        0 1 1 1        0 2 2 0                    Q 44f     465544 6 5 5 3 3 3   801.0  801.0
 41 1611.954060 2.254E-25 9.042E-02.07330.092 2022.67450.74-.001752        0 2 0 1        0 3 1 0                    Q 25f     465544 6 5 5 3 3 3   459.0  459.0
 41 1612.182470 2.399E-25 9.045E-02.07370.093 2001.63410.74-.001741        0 2 0 1        0 3 1 0                    Q 24f     465544 6 5 5 3 3 3   441.0  441.0
 41 1612.322120 2.427E-25 4.463E-02.06830.080 1971.97330.77-.001887        0 1 1 1        0 2 2 0                    Q 43f     465544 6 5 5 3 3 3   783.0  783.0
 41 1612.401630 2.540E-25 9.053E-02.07410.094 1981.43440.73-.001729        0 2 0 1        0 3 1 0                    Q 23f     465544 6 5 5 3 3 3   423.0  423.0
 41 1612.611540 2.673E-25 9.059E-02.07450.095 1962.07540.73-.001717        0 2 0 1        0 3 1 0                    Q 22f     465544 6 5 5 3 3 3   405.0  405.0
 41 1612.672210 1.206E-24 2.873E-02.08490.107 1215.55500.72-.001686        0 1 1 1        0 2 2 0                    P  9e     465544 6 5 5 3 3 3   153.0  171.0
 41 1612.695400 2.826E-25 4.465E-02.06850.081 1935.90020.78-.001881        0 1 1 1        0 2 2 0                    Q 42f     465544 6 5 5 3 3 3   765.0  765.0
 41 1612.728560 1.218E-24 2.902E-02.08490.107 1215.55460.72-.001686        0 1 1 1        0 2 2 0                    P  9f     465544 6 5 5 3 3 3   153.0  171.0
 41 1612.799040 8.387E-25 1.583E-02.07600.097 1327.66640.73-.001951        0 1 1 1        0 2 0 0                    P 19e     465544 6 5 5 3 3 3   333.0  351.0
 41 1612.812230 2.794E-25 9.059E-02.07500.095 1943.55720.73-.001703        0 2 0 1        0 3 1 0                    Q 21f     465544 6 5 5 3 3 3   387.0  387.0
 41 1612.881730 1.254E-23 1.743E-02.07370.093  840.21040.74-.001982        0 0 0 1        0 1 1 0                    P 24e     465544 6 5 5 3 3 3   423.0  441.0
 41 1612.916370 2.206E-25 5.585E-02.06790.079 2046.86450.77-.001897        0 1 1 1        0 2 2 0                    Q 45e     465544 6 5 5 3 3 3   819.0  819.0
 41 1613.003690 2.903E-25 9.061E-02.07550.096 1925.87990.73-.001689        0 2 0 1        0 3 1 0                    Q 20f     465544 6 5 5 3 3 3   369.0  369.0
 41 1613.060070 3.282E-25 4.477E-02.06870.081 1900.66340.78-.001876        0 1 1 1        0 2 2 0                    Q 41f     465544 6 5 5 3 3 3   747.0  747.0
 41 1613.185950 3.000E-25 9.072E-02.07600.097 1909.04370.73-.001673        0 2 0 1        0 3 1 0                    Q 19f     465544 6 5 5 3 3 3   351.0  351.0
 41 1613.256530 2.572E-25 5.544E-02.06810.080 2009.10020.77-.001892        0 1 1 1        0 2 2 0                    Q 44e     465544 6 5 5 3 3 3   801.0  801.0
 41 1613.359020 3.072E-25 9.062E-02.07650.098 1893.04870.73-.001656        0 2 0 1        0 3 1 0                    Q 18f     465544 6 5 5 3 3 3   333.0  333.0
 41 1613.416100 3.786E-25 4.479E-02.06890.082 1866.26310.79-.001870        0 1 1 1        0 2 2 0                    Q 40f     465544 6 5 5 3 3 3   729.0  729.0
 41 1613.522900 3.129E-25 9.066E-02.07710.099 1877.89500.73-.001639        0 2 0 1        0 3 1 0                    Q 17f     465544 6 5 5 3 3 3   315.0  315.0
 41 1613.582150 1.173E-24 3.056E-02.08600.108 1207.99310.71-.001632        0 1 1 1        0 2 2 0                    P  8e     465544 6 5 5 3 3 3   135.0  153.0
 41 1613.588480 2.984E-25 5.501E-02.06830.080 1972.17290.77-.001887        0 1 1 1        0 2 2 0                    Q 43e     465544 6 5 5 3 3 3   783.0  783.0
 41 1613.625910 1.177E-24 3.067E-02.08600.108 1207.99280.71-.001632        0 1 1 1        0 2 2 0                    P  8f     465544 6 5 5 3 3 3   135.0  153.0
 41 1613.677610 3.165E-25 9.075E-02.07780.100 1863.58250.73-.001619        0 2 0 1        0 3 1 0                    Q 16f     465544 6 5 5 3 3 3   297.0  297.0
 41 1613.763500 4.355E-25 4.489E-02.06920.082 1832.69950.79-.001864        0 1 1 1        0 2 2 0                    Q 39f     465544 6 5 5 3 3 3   711.0  711.0
 41 1613.785630 8.628E-25 1.595E-02.07650.098 1311.71620.73-.001939        0 1 1 1        0 2 0 0                    P 18e     465544 6 5 5 3 3 3   315.0  333.0
 41 1613.823160 3.173E-25 9.072E-02.07850.100 1850.11160.72-.001598        0 2 0 1        0 3 1 0                    Q 15f     465544 6 5 5 3 3 3   279.0  279.0
 41 1613.885210 1.351E-23 1.781E-02.07410.094  820.09980.73-.001978        0 0 0 1        0 1 1 0                    P 23e     465544 6 5 5 3 3 3   405.0  423.0
 41 1613.912260 3.447E-25 5.460E-02.06850.081 1936.08290.78-.001881        0 1 1 1        0 2 2 0                    Q 42e     465544 6 5 5 3 3 3   765.0  765.0
 41 1613.959550 3.157E-25 9.076E-02.07920.101 1837.48220.72-.001575        0 2 0 1        0 3 1 0                    Q 14f     465544 6 5 5 3 3 3   261.0  261.0
 41 1614.086810 3.113E-25 9.079E-02.08010.102 1825.69430.72-.001550        0 2 0 1        0 3 1 0                    Q 13f     465544 6 5 5 3 3 3   243.0  243.0
 41 1614.102260 4.959E-25 4.475E-02.06940.083 1799.97280.80-.001858        0 1 1 1        0 2 2 0                    Q 38f     465544 6 5 5 3 3 3   693.0  693.0
 41 1614.204940 3.040E-25 9.080E-02.08120.103 1814.74820.72-.001523        0 2 0 1        0 3 1 0                    Q 12f     465544 6 5 5 3 3 3   225.0  225.0
 41 1614.227900 3.963E-25 5.418E-02.06870.081 1900.83020.78-.001876        0 1 1 1        0 2 2 0                    Q 41e     465544 6 5 5 3 3 3   747.0  747.0
 41 1614.313940 2.939E-25 9.086E-02.08240.104 1804.64380.72-.001494        0 2 0 1        0 3 1 0                    Q 11f     465544 6 5 5 3 3 3   207.0  207.0
 41 1614.413830 2.806E-25 9.084E-02.08370.105 1795.38120.72-.001461        0 2 0 1        0 3 1 0                    Q 10f     465544 6 5 5 3 3 3   189.0  189.0
 41 1614.432380 5.685E-25 4.513E-02.06960.084 1768.08300.80-.001852        0 1 1 1        0 2 2 0                    Q 37f     465544 6 5 5 3 3 3   675.0  675.0
 41 1614.483360 1.125E-24 3.277E-02.08700.109 1201.27130.71-.001571        0 1 1 1        0 2 2 0                    P  7e     465544 6 5 5 3 3 3   117.0  135.0
 41 1614.504610 2.645E-25 9.085E-02.08490.107 1786.96050.72-.001425        0 2 0 1        0 3 1 0                    Q  9f     465544 6 5 5 3 3 3   171.0  171.0
 41 1614.516130 1.129E-24 3.289E-02.08700.109 1201.27120.71-.001571        0 1 1 1        0 2 2 0                    P  7f     465544 6 5 5 3 3 3   117.0  135.0
 41 1614.535440 4.556E-25 5.401E-02.06890.082 1866.41500.79-.001870        0 1 1 1        0 2 2 0                    Q 40e     465544 6 5 5 3 3 3   729.0  729.0
 41 1614.586300 2.455E-25 9.085E-02.08600.108 1779.38170.71-.001386        0 2 0 1        0 3 1 0                    Q  8f     465544 6 5 5 3 3 3   153.0  153.0
 41 1614.658890 2.238E-25 9.084E-02.08700.109 1772.64490.71-.001342        0 2 0 1        0 3 1 0                    Q  7f     465544 6 5 5 3 3 3   135.0  135.0
 41 1614.753860 6.411E-25 4.498E-02.06990.084 1737.03050.81-.001845        0 1 1 1        0 2 2 0                    Q 36f     465544 6 5 5 3 3 3   657.0  657.0
 41 1614.764280 8.830E-25 1.611E-02.07710.099 1296.60490.73-.001925        0 1 1 1        0 2 0 0                    P 17e     465544 6 5 5 3 3 3   297.0  315.0
 41 1614.834900 5.161E-25 5.331E-02.06920.082 1832.83750.79-.001864        0 1 1 1        0 2 2 0                    Q 39e     465544 6 5 5 3 3 3   711.0  711.0
 41 1614.881570 1.443E-23 1.815E-02.07450.095  800.82620.73-.001974        0 0 0 1        0 1 1 0                    P 22e     465544 6 5 5 3 3 3   387.0  405.0
 41 1615.066690 7.217E-25 4.497E-02.07010.085 1706.81530.81-.001838        0 1 1 1        0 2 2 0                    Q 35f     465544 6 5 5 3 3 3   639.0  639.0
 41 1615.126330 5.887E-25 5.323E-02.06940.083 1800.09770.80-.001858        0 1 1 1        0 2 2 0                    Q 38e     465544 6 5 5 3 3 3   693.0  693.0
 41 1615.370870 8.104E-25 4.506E-02.07040.085 1677.43760.81-.001831        0 1 1 1        0 2 2 0                    Q 34f     465544 6 5 5 3 3 3   621.0  621.0
 41 1615.375850 1.068E-24 3.577E-02.08810.110 1195.38970.71-.001501        0 1 1 1        0 2 2 0                    P  6e     465544 6 5 5 3 3 3    99.0  117.0
 41 1615.399220 1.068E-24 3.577E-02.08810.110 1195.38970.71-.001501        0 1 1 1        0 2 2 0                    P  6f     465544 6 5 5 3 3 3    99.0  117.0
 41 1615.409740 6.612E-25 5.258E-02.06960.084 1768.19590.80-.001852        0 1 1 1        0 2 2 0                    Q 37e     465544 6 5 5 3 3 3   675.0  675.0
 41 1615.666400 9.072E-25 4.523E-02.07070.086 1648.89760.81-.001824        0 1 1 1        0 2 2 0                    Q 33f     465544 6 5 5 3 3 3   603.0  603.0
 41 1615.685190 7.459E-25 5.242E-02.06990.084 1737.13210.81-.001845        0 1 1 1        0 2 2 0                    Q 36e     465544 6 5 5 3 3 3   657.0  657.0
 41 1615.734970 8.951E-25 1.624E-02.07780.100 1282.33240.73-.001909        0 1 1 1        0 2 0 0                    P 16e     465544 6 5 5 3 3 3   279.0  297.0
 41 1615.870800 1.532E-23 1.850E-02.07500.095  782.39000.73-.001968        0 0 0 1        0 1 1 0                    P 21e     465544 6 5 5 3 3 3   369.0  387.0
 41 1615.952690 8.346E-25 5.208E-02.07010.085 1706.90650.81-.001838        0 1 1 1        0 2 2 0                    Q 35e     465544 6 5 5 3 3 3   639.0  639.0
 41 1615.953260 1.008E-24 4.530E-02.07100.087 1621.19540.80-.001817        0 1 1 1        0 2 2 0                    Q 32f     465544 6 5 5 3 3 3   585.0  585.0
 41 1616.212290 9.274E-25 5.164E-02.07040.085 1677.51920.81-.001831        0 1 1 1        0 2 2 0                    Q 34e     465544 6 5 5 3 3 3   621.0  621.0
 41 1616.231470 1.113E-24 4.530E-02.07130.087 1594.33110.80-.001809        0 1 1 1        0 2 2 0                    Q 31f     465544 6 5 5 3 3 3   567.0  567.0
 41 1616.259630 9.999E-25 3.998E-02.08930.111 1190.34830.71-.001422        0 1 1 1        0 2 2 0                    P  5e     465544 6 5 5 3 3 3    81.0   99.0
 41 1616.275190 9.999E-25 3.998E-02.08930.111 1190.34830.71-.001422        0 1 1 1        0 2 2 0                    P  5f     465544 6 5 5 3 3 3    81.0   99.0
 41 1616.464020 1.028E-24 5.133E-02.07070.086 1648.97030.81-.001824        0 1 1 1        0 2 2 0                    Q 33e     465544 6 5 5 3 3 3   603.0  603.0
 41 1616.501020 1.222E-24 4.528E-02.07160.088 1568.30490.79-.001800        0 1 1 1        0 2 2 0                    Q 30f     465544 6 5 5 3 3 3   549.0  549.0
 41 1616.697640 8.991E-25 1.635E-02.07850.100 1268.89900.72-.001890        0 1 1 1        0 2 0 0                    P 15e     465544 6 5 5 3 3 3   261.0  279.0
 41 1616.707920 1.133E-24 5.098E-02.07100.087 1621.26000.80-.001817        0 1 1 1        0 2 2 0                    Q 32e     465544 6 5 5 3 3 3   585.0  585.0
