461 2563.393138 7.544E-22 1.860E-01.07620.072  450.62310.750.000000              2              0                    R 23      532210 1 1 1 1 1 0    49.0   47.0
461 2564.425360 6.556E-22 1.880E-01.07580.071  489.76930.750.000000              2              0                    R 24      532210 1 1 1 1 1 0    51.0   49.0
461 2565.433072 5.643E-22 1.900E-01.07550.071  530.54000.750.000000              2              0                    R 25      532210 1 1 1 1 1 0    53.0   51.0
461 2566.416240 4.787E-22 1.910E-01.07520.070  572.93440.750.000000              2              0                    R 26      532210 1 1 1 1 1 0    55.0   53.0
461 2567.374830 4.044E-22 1.930E-01.07490.070  616.95170.750.000000              2              0                    R 27      532210 1 1 1 1 1 0    57.0   55.0
461 2568.308809 3.386E-22 1.950E-01.07460.069  662.59110.750.000000              2              0                    R 28      532210 1 1 1 1 1 0    59.0   57.0
461 2569.218142 2.808E-22 1.970E-01.07430.069  709.85160.750.000000              2              0                    R 29      532210 1 1 1 1 1 0    61.0   59.0
461 2570.102796 2.309E-22 1.990E-01.07400.069  758.73240.750.000000              2              0                    R 30      532210 1 1 1 1 1 0    63.0   61.0
461 2570.400028 2.211E-36 4.450E-01.06980.059 7801.75550.750.000000              2              0                    R 98      432210 1 1 1 1 1 0   199.0  197.0
461 2570.962735 1.881E-22 2.010E-01.07370.068  809.23230.750.000000              2              0                    R 31      532210 1 1 1 1 1 0    65.0   63.0
461 2571.279074 4.586E-36 4.390E-01.06980.059 7646.62640.750.000000              2              0                    R 97      432210 1 1 1 1 1 0   197.0  195.0
461 2571.797926 1.519E-22 2.030E-01.07350.068  861.35060.750.000000              2              0                    R 32      532210 1 1 1 1 1 0    67.0   65.0
461 2572.130870 9.465E-36 4.340E-01.06980.059 7492.97960.750.000000              2              0                    R 96      432210 1 1 1 1 1 0   195.0  193.0
461 2572.608333 1.216E-22 2.050E-01.07320.067  915.08610.750.000000              2              0                    R 33      532210 1 1 1 1 1 0    69.0   67.0
461 2572.955459 1.934E-35 4.280E-01.06980.059 7340.81810.750.000000              2              0                    R 95      432210 1 1 1 1 1 0   193.0  191.0
461 2573.393924 9.647E-23 2.070E-01.07290.067  970.43770.750.000000              2              0                    R 34      532210 1 1 1 1 1 0    71.0   69.0
461 2573.752881 3.933E-35 4.230E-01.06980.059 7190.14520.750.000000              2              0                    R 94      432210 1 1 1 1 1 0   191.0  189.0
461 2574.154662 7.588E-23 2.090E-01.07260.067 1027.40450.750.000000              2              0                    R 35      532210 1 1 1 1 1 0    73.0   71.0
461 2574.523180 7.917E-35 4.170E-01.06980.059 7040.96370.750.000000              2              0                    R 93      432210 1 1 1 1 1 0   189.0  187.0
