161 1884.433849 2.227E-49 7.593E+00.04100.09014489.68670.500.000000              7              6                    P  8      363400 6 3 1 1 0 0   120.0  136.0
161 1886.031079 1.911E-43 1.187E+01.01500.05211932.77770.500.000000              5              4                    P 17      453400 6 3 1 1 0 0   264.0  280.0
161 1890.408076 1.548E-38 9.776E+00.01500.050 9639.43180.500.000000              3              2                    P 24      453400 6 3 1 1 0 0   376.0  392.0
161 1894.174148 2.922E-34 3.975E+00.01500.050 7474.71070.500.000000              1              0                    P 30      463400 6 3 1 1 0 0   472.0  488.0
161 1894.865470 3.206E-36 7.270E+00.01500.050 8504.97600.500.000000              2              1                    P 27      453400 6 3 1 1 0 0   424.0  440.0
161 1901.338581 6.649E-46 1.086E+01.02200.06313001.39940.500.000000              6              5                    P 12      463400 6 3 1 1 0 0   184.0  200.0
161 1901.492874 3.256E-49 7.619E+00.04800.10214379.12970.500.000000              7              6                    P  7      363400 6 3 1 1 0 0   104.0  120.0
161 1903.343737 1.678E-40 1.147E+01.01500.05010561.88610.500.000000              4              3                    P 20      453400 6 3 1 1 0 0   312.0  328.0
161 1907.290724 5.848E-43 1.197E+01.01600.05311686.92200.500.000000              5              4                    P 16      453400 6 3 1 1 0 0   248.0  264.0
161 1914.582110 8.421E-38 9.894E+00.01500.050 9279.23900.500.000000              3              2                    P 23      453400 6 3 1 1 0 0   360.0  376.0
161 1918.124463 4.351E-49 7.645E+00.05800.11614282.25050.500.000000              7              6                    P  6      363400 6 3 1 1 0 0    88.0  104.0
161 1920.224741 2.258E-35 7.369E+00.01500.050 8092.80500.500.000000              2              1                    P 26      453400 6 3 1 1 0 0   408.0  424.0
161 1920.409158 1.368E-45 1.091E+01.02600.06712831.15840.500.000000              6              5                    P 11      463400 6 3 1 1 0 0   168.0  184.0
161 1920.653725 2.671E-33 4.036E+00.01500.050 7009.75290.500.000000              1              0                    P 29      463400 6 3 1 1 0 0   456.0  472.0
161 1925.957036 6.606E-40 1.158E+01.01500.05010266.30380.500.000000              4              3                    P 19      453400 6 3 1 1 0 0   296.0  312.0
161 1928.206487 1.666E-42 1.206E+01.01700.05511454.82770.500.000000              5              4                    P 15      453400 6 3 1 1 0 0   232.0  248.0
161 1934.321061 5.273E-49 7.688E+00.06900.12814199.10590.500.000000              7              6                    P  5      363400 6 3 1 1 0 0    72.0   88.0
161 1938.476945 4.278E-37 1.000E+01.01500.050 8932.63600.500.000000              3              2                    P 22      453400 6 3 1 1 0 0   344.0  360.0
161 1939.091356 2.607E-45 1.096E+01.03200.07312674.76560.500.000000              6              5                    P 10      463400 6 3 1 1 0 0   152.0  168.0
161 1945.332777 1.487E-34 7.462E+00.01500.050 7694.09900.500.000000              2              1                    P 25      453400 6 3 1 1 0 0   392.0  408.0
161 1946.909808 2.286E-32 4.093E+00.01500.050 6558.06620.500.000000              1              0                    P 28      463400 6 3 1 1 0 0   440.0  456.0
161 1948.255583 2.423E-39 1.168E+01.01500.051 9984.52210.500.000000              4              3                    P 18      453400 6 3 1 1 0 0   280.0  296.0
161 1948.771215 4.412E-42 1.213E+01.01800.05711236.62140.500.000000              5              4                    P 14      453400 6 3 1 1 0 0   216.0  232.0
161 1950.075004 5.722E-49 7.781E+00.08000.13614129.74440.500.000000              7              6                    P  4      363400 6 3 1 1 0 0    56.0   72.0
161 1957.377811 4.590E-45 1.099E+01.03900.08012532.30890.500.000000              6              5                    P  9      463400 6 3 1 1 0 0   136.0  152.0
161 1962.085419 2.028E-36 1.010E+01.01500.050 8599.80070.500.000000              3              2                    P 21      453400 6 3 1 1 0 0   328.0  344.0
161 1965.378527 5.427E-49 8.012E+00.09200.13814074.20650.500.000000              7              6                    P  3      363400 6 3 1 1 0 0    40.0   56.0
161 1968.977627 1.085E-41 1.219E+01.02000.05911032.42180.500.000000              5              4                    P 13      453400 6 3 1 1 0 0   200.0  216.0
161 1970.182365 9.141E-34 7.549E+00.01500.050 7309.05660.500.000000              2              1                    P 24      453400 6 3 1 1 0 0   376.0  392.0
161 1970.232144 8.272E-39 1.177E+01.01500.052 9716.68980.500.000000              4              3                    P 17      453400 6 3 1 1 0 0   264.0  280.0
161 1972.935150 1.828E-31 4.146E+00.01500.050 6119.86990.500.000000              1              0                    P 27      463400 6 3 1 1 0 0   424.0  440.0
161 1975.261060 7.446E-45 1.102E+01.04100.09012403.86860.500.000000              6              5                    P  8      463400 6 3 1 1 0 0   120.0  136.0
161 1980.223770 4.265E-49 8.700E+00.09600.13514032.52470.500.000000              7              6                    P  2      363400 6 3 1 1 0 0    24.0   40.0
161 1985.400216 8.957E-36 1.020E+01.01500.050 8280.90360.500.000000              3              2                    P 20      453400 6 3 1 1 0 0   312.0  328.0
161 1988.818322 2.475E-41 1.224E+01.02200.06310842.34010.500.000000              5              4                    P 12      463400 6 3 1 1 0 0   184.0  200.0
161 1991.879354 2.627E-38 1.184E+01.01600.053 9462.94840.500.000000              4              3                    P 16      453400 6 3 1 1 0 0   248.0  264.0
161 1992.733514 1.109E-44 1.106E+01.04800.10212289.51700.500.000000              6              5                    P  7      463400 6 3 1 1 0 0   104.0  120.0
161 1994.602785 2.342E-49 1.271E+01.12300.13214004.72330.500.000000              7              6                    P  1      363400 6 3 1 1 0 0     8.0   24.0
161 1994.766137 5.242E-33 7.630E+00.01500.050 6937.86990.500.000000              2              1                    P 23      453400 6 3 1 1 0 0   360.0  376.0
161 1998.722338 1.366E-30 4.197E+00.01500.050 5695.37660.500.000000              1              0                    P 26      463400 6 3 1 1 0 0   408.0  424.0
161 2008.285797 5.227E-41 1.228E+01.02600.06710666.47980.500.000000              5              4                    P 11      463400 6 3 1 1 0 0   168.0  184.0
161 2008.413887 3.683E-35 1.028E+01.01500.050 7976.10820.500.000000              3              2                    P 19      453400 6 3 1 1 0 0   296.0  312.0
161 2009.787529 1.508E-44 1.110E+01.05800.11612189.31840.500.000000              6              5                    P  6      463400 6 3 1 1 0 0    88.0  104.0
161 2013.189727 7.748E-38 1.191E+01.01700.055 9223.43170.500.000000              4              3                    P 15      453400 6 3 1 1 0 0   232.0  248.0
161 2019.076579 2.802E-32 7.704E+00.01500.050 6580.72410.500.000000              2              1                    P 22      453400 6 3 1 1 0 0   344.0  360.0
161 2021.929909 2.285E-49 3.968E+00.12300.13213990.81860.500.000000              7              6                    R  0      363400 6 3 1 1 0 0    24.0    8.0
161 2024.263807 9.521E-30 4.244E+00.01500.050 5284.79280.500.000000              1              0                    P 25      463400 6 3 1 1 0 0   392.0  408.0
161 2026.415370 1.858E-44 1.119E+01.06900.12812103.32900.500.000000              6              5                    P  5      463400 6 3 1 1 0 0    72.0   88.0
161 2027.372454 1.020E-40 1.231E+01.03200.07310504.93650.500.000000              5              4                    P 10      463400 6 3 1 1 0 0   152.0  168.0
161 2031.118857 1.408E-34 1.035E+01.01500.051 7685.57100.500.000000              3              2                    P 18      453400 6 3 1 1 0 0   280.0  296.0
161 2034.155672 2.121E-37 1.196E+01.01800.057 8998.26610.500.000000              4              3                    P 14      453400 6 3 1 1 0 0   216.0  232.0
161 2034.861711 4.057E-49 4.580E+00.09600.13514004.72330.500.000000              7              6                    R  1      363400 6 3 1 1 0 0    40.0   24.0
161 2042.609227 2.047E-44 1.137E+01.08000.13612031.59730.500.000000              6              5                    P  4      463400 6 3 1 1 0 0    56.0   72.0
161 2043.106043 1.394E-31 7.773E+00.01500.050 6237.79750.500.000000              2              1                    P 21      453400 6 3 1 1 0 0   328.0  344.0
161 2046.070613 1.837E-40 1.234E+01.03900.08010357.79800.500.000000              5              4                    P  9      463400 6 3 1 1 0 0   136.0  152.0
161 2047.294671 5.028E-49 4.698E+00.09200.13814032.52470.500.000000              7              6                    R  2      363400 6 3 1 1 0 0    56.0   40.0
