441 2042.837645 1.903E-24 5.010E-01.10000.100 1696.46120.750.000000  0010001 0 0 1  0000001 0 0 1                    P 98e     432220 3 3 1 1 1 0  1170.0 1182.0
441 2042.855487 2.472E-24 5.009E-01.10000.100 1654.84090.750.000000  0010000 0 0 0  0000000 0 0 0                    P104e     432220 3 3 1 1 1 0  1242.0 1254.0
441 2043.166769 2.155E-24 5.012E-01.10000.100 1668.74300.750.000000  0010001 0 0 1  0000001 0 0 1                    P 97f     432220 3 3 1 1 1 0  1158.0 1170.0
441 2043.228640 2.176E-24 5.013E-01.10000.100 1666.71720.750.000000  0010001 0 0 1  0000001 0 0 1                    P 97e     432220 3 3 1 1 1 0  1158.0 1170.0
441 2043.251996 2.854E-24 5.012E-01.10000.100 1623.36050.750.000000  0010000 0 0 0  0000000 0 0 0                    P103e     432220 3 3 1 1 1 0  1230.0 1242.0
441 2043.557637 2.462E-24 5.016E-01.10000.100 1639.26070.750.000000  0010001 0 0 1  0000001 0 0 1                    P 96f     432220 3 3 1 1 1 0  1146.0 1158.0
441 2043.618764 2.486E-24 5.016E-01.10000.100 1637.27520.750.000000  0010001 0 0 1  0000001 0 0 1                    P 96e     432220 3 3 1 1 1 0  1146.0 1158.0
441 2043.647632 3.291E-24 5.015E-01.10000.100 1592.18120.750.000000  0010000 0 0 0  0000000 0 0 0                    P102e     432220 3 3 1 1 1 0  1218.0 1230.0
441 2043.947634 2.808E-24 5.019E-01.10000.100 1610.08090.750.000000  0010001 0 0 1  0000001 0 0 1                    P 95f     432220 3 3 1 1 1 0  1134.0 1146.0
441 2044.008016 2.835E-24 5.019E-01.10000.100 1608.13550.750.000000  0010001 0 0 1  0000001 0 0 1                    P 95e     432220 3 3 1 1 1 0  1134.0 1146.0
441 2044.042395 3.785E-24 5.018E-01.10000.100 1561.30320.750.000000  0010000 0 0 0  0000000 0 0 0                    P101e     432220 3 3 1 1 1 0  1206.0 1218.0
441 2044.336760 3.198E-24 5.022E-01.10000.100 1581.20360.750.000000  0010001 0 0 1  0000001 0 0 1                    P 94f     432220 3 3 1 1 1 0  1122.0 1134.0
441 2044.396395 3.229E-24 5.022E-01.10000.100 1579.29790.750.000000  0010001 0 0 1  0000001 0 0 1                    P 94e     432220 3 3 1 1 1 0  1122.0 1134.0
441 2044.436285 4.348E-24 5.022E-01.10000.100 1530.72630.750.000000  0010000 0 0 0  0000000 0 0 0                    P100e     432220 3 3 1 1 1 0  1194.0 1206.0
441 2044.725012 3.638E-24 5.025E-01.10000.100 1552.62900.750.000000  0010001 0 0 1  0000001 0 0 1                    P 93f     432220 3 3 1 1 1 0  1110.0 1122.0
441 2044.783902 3.669E-24 5.025E-01.10000.100 1550.76250.750.000000  0010001 0 0 1  0000001 0 0 1                    P 93e     432220 3 3 1 1 1 0  1110.0 1122.0
441 2044.829300 4.990E-24 5.025E-01.10000.100 1500.45080.750.000000  0010000 0 0 0  0000000 0 0 0                    P 99e     432220 3 3 1 1 1 0  1182.0 1194.0
441 2045.112392 4.129E-24 5.028E-01.10000.100 1524.35700.750.000000  0010001 0 0 1  0000001 0 0 1                    P 92f     432220 3 3 1 1 1 0  1098.0 1110.0
441 2045.170536 4.165E-24 5.029E-01.10000.100 1522.52940.750.000000  0010001 0 0 1  0000001 0 0 1                    P 92e     432220 3 3 1 1 1 0  1098.0 1110.0
441 2045.221439 5.714E-24 5.028E-01.10000.100 1470.47660.750.000000  0010000 0 0 0  0000000 0 0 0                    P 98e     432220 3 3 1 1 1 0  1170.0 1182.0
441 2045.498898 4.679E-24 5.031E-01.10000.100 1496.38770.750.000000  0010001 0 0 1  0000001 0 0 1                    P 91f     432220 3 3 1 1 1 0  1086.0 1098.0
441 2045.556295 4.720E-24 5.032E-01.10000.100 1494.59870.750.000000  0010001 0 0 1  0000001 0 0 1                    P 91e     432220 3 3 1 1 1 0  1086.0 1098.0
