531 1503.723421 3.545E-21 3.421E+02.09240.115 1663.59880.630.000000       1 2 0 1        1 2 0 0                     P 44      336650 1 1 1 1 1 0    87.0   89.0
531 1503.748756 6.483E-21 2.045E+02.08370.108 1514.59270.760.000000       1 1 1 1        1 1 1 0                     P 65      335540 1 1 1 1 1 0   129.0  131.0
531 1503.751269 2.434E-25 6.856E-02.09650.117 1847.88760.590.000000       2 1 1 1        2 1 1 0                     P 37      336650 1 1 1 1 1 0    73.0   75.0
531 1503.765477 6.757E-27 6.873E-03.10020.119 2081.73750.590.000000       3 0 0 1        3 0 0 0                     P 32      336650 1 1 1 1 1 0    63.0   65.0
531 1503.914181 9.684E-21 6.805E+01.07660.097 1270.71680.760.000000       0 1 1 1        0 1 1 0                     P 89      335540 1 1 1 1 1 0   177.0  179.0
531 1503.934329 7.405E-21 9.543E+01.08200.106 1345.77490.770.000000       0 2 0 1        0 2 0 0                     P 70      335540 1 1 1 1 1 0   139.0  141.0
531 1503.942757 7.651E-25 6.825E-02.08540.110 1711.82920.750.000000       2 0 0 1        2 0 0 0                     P 60      335540 1 1 1 1 1 0   119.0  121.0
531 1503.977107 1.972E-21 6.836E+01.08990.114 1475.30580.680.000000       0 3 1 1        0 3 1 0                     P 49      336650 1 1 1 1 1 0    97.0   99.0
531 1503.985133 1.630E-22 6.819E+01.08230.106 2058.71740.770.000000       0 0 0 2        0 0 0 1                     P 69      335540 1 1 1 1 1 0   137.0  139.0
531 1504.013809 2.461E-25 6.860E-02.09720.117 1839.94770.590.000000       2 1 1 1        2 1 1 0                     P 36      336650 1 1 1 1 1 0    71.0   73.0
531 1504.023141 2.935E-20 3.406E+02.08230.106 1321.20320.770.000000       0 2 2 1        0 2 2 0                     P 69      335540 1 1 1 1 1 0   137.0  139.0
531 1504.044823 6.828E-21 2.046E+02.08400.108 1500.77070.760.000000       1 1 1 1        1 1 1 0                     P 64      335540 1 1 1 1 1 0   127.0  129.0
