191 1673.482018 5.606E-23 2.848E-01.08370.129 1079.84170.390.000000        2 1 1 0        0 1 1 0                    P 52e     445500 4 2 4 3 1 0   103.0  105.0
191 1673.542883 5.606E-23 2.857E-01.08370.129 1080.42540.390.000000        2 1 1 0        0 1 1 0                    P 52f     445500 4 2 4 3 1 0   103.0  105.0
191 1673.546321 1.678E-23 2.906E-01.09180.171 1179.28890.820.000000        2 2 0 0        0 2 0 0                    P 25      445500 4 2 4 3 1 0    49.0   51.0
191 1673.553314 1.666E-23 2.881E-01.09090.170 1195.15410.780.000000        2 2 2 0        0 2 2 0                    P 27e     445500 4 2 4 3 1 0    53.0   55.0
191 1673.554697 1.666E-23 2.882E-01.09090.170 1195.15840.780.000000        2 2 2 0        0 2 2 0                    P 27f     445500 4 2 4 3 1 0    53.0   55.0
191 1673.756918 3.868E-23 8.563E-01.08420.132 1374.42080.420.000000        3 0 0 0        1 0 0 0                    P 50      445500 4 2 4 3 1 0    99.0  101.0
191 1673.784060 5.566E-23 2.816E-01.07990.102 1154.87250.300.000000        2 0 0 0        0 0 0 0                    P 75      545500 4 2 4 3 1 0   149.0  151.0
191 1673.812406 1.037E-23 8.713E-01.09180.171 1504.09310.820.000000        3 1 1 0        1 1 1 0                    P 25e     3355401115 4 3 1 0    49.0   51.0
191 1673.820029 1.037E-23 8.719E-01.09180.171 1504.24140.820.000000        3 1 1 0        1 1 1 0                    P 25f     3355401115 4 3 1 0    49.0   51.0
191 1674.003880 6.090E-23 2.850E-01.08390.130 1058.74360.400.000000        2 1 1 0        0 1 1 0                    P 51e     445500 4 2 4 3 1 0   101.0  103.0
191 1674.004111 1.690E-23 2.906E-01.09230.171 1169.11720.840.000000        2 2 0 0        0 2 0 0                    P 24      445500 4 2 4 3 1 0    47.0   49.0
191 1674.014419 1.694E-23 2.888E-01.09130.171 1184.16600.800.000000        2 2 2 0        0 2 2 0                    P 26e     445500 4 2 4 3 1 0    51.0   53.0
191 1674.015582 1.694E-23 2.888E-01.09130.171 1184.16970.800.000000        2 2 2 0        0 2 2 0                    P 26f     445500 4 2 4 3 1 0    51.0   53.0
191 1674.062096 6.090E-23 2.858E-01.08390.130 1059.30540.400.000000        2 1 1 0        0 1 1 0                    P 51f     445500 4 2 4 3 1 0   101.0  103.0
191 1674.273097 1.045E-23 8.719E-01.09230.171 1493.96870.830.000000        3 1 1 0        1 1 1 0                    P 24e     3355401115 4 3 1 0    47.0   49.0
191 1674.279667 1.045E-23 8.725E-01.09230.171 1494.10570.830.000000        3 1 1 0        1 1 1 0                    P 24f     3355401115 4 3 1 0    47.0   49.0
191 1674.283164 4.195E-23 8.597E-01.08440.134 1354.21780.440.000000        3 0 0 0        1 0 0 0                    P 49      445500 4 2 4 3 1 0    97.0   99.0
191 1674.370675 6.373E-23 2.822E-01.08000.102 1124.51730.300.000000        2 0 0 0        0 0 0 0                    P 74      545500 4 2 4 3 1 0   147.0  149.0
191 1674.459800 1.702E-23 2.916E-01.09280.172 1159.35210.860.000000        2 2 0 0        0 2 0 0                    P 23      445500 4 2 4 3 1 0    45.0   47.0
191 1674.473426 1.714E-23 2.891E-01.09180.171 1173.58460.820.000000        2 2 2 0        0 2 2 0                    P 25e     445500 4 2 4 3 1 0    49.0   51.0
191 1674.474395 1.714E-23 2.891E-01.09180.171 1173.58780.820.000000        2 2 2 0        0 2 2 0                    P 25f     445500 4 2 4 3 1 0    49.0   51.0
191 1674.523451 6.615E-23 2.857E-01.08420.132 1038.05040.420.000000        2 1 1 0        0 1 1 0                    P 50e     445500 4 2 4 3 1 0    99.0  101.0
191 1674.579070 6.574E-23 2.847E-01.08420.132 1038.59060.420.000000        2 1 1 0        0 1 1 0                    P 50f     445500 4 2 4 3 1 0    99.0  101.0
191 1674.731473 1.049E-23 8.724E-01.09280.171 1484.24920.840.000000        3 1 1 0        1 1 1 0                    P 23e     3355401115 4 3 1 0    45.0   47.0
191 1674.737050 1.049E-23 8.730E-01.09280.171 1484.37520.840.000000        3 1 1 0        1 1 1 0                    P 23f     3355401115 4 3 1 0    45.0   47.0
191 1674.806913 4.517E-23 8.590E-01.08460.136 1334.41800.450.000000        3 0 0 0        1 0 0 0                    P 48      445500 4 2 4 3 1 0    95.0   97.0
191 1674.913384 1.702E-23 2.918E-01.09330.171 1149.99380.890.000000        2 2 0 0        0 2 0 0                    P 22      445500 4 2 4 3 1 0    43.0   45.0
191 1674.930338 1.726E-23 2.890E-01.09230.171 1163.40980.840.000000        2 2 2 0        0 2 2 0                    P 24e     445500 4 2 4 3 1 0    47.0   49.0
191 1674.931139 1.726E-23 2.890E-01.09230.171 1163.41260.840.000000        2 2 2 0        0 2 2 0                    P 24f     445500 4 2 4 3 1 0    47.0   49.0
191 1674.954807 7.300E-23 2.835E-01.08010.103 1094.56490.300.000000        2 0 0 0        0 0 0 0                    P 73      545500 4 2 4 3 1 0   145.0  147.0
191 1675.040733 7.139E-23 2.854E-01.08440.134 1017.76210.440.000000        2 1 1 0        0 1 1 0                    P 49e     445500 4 2 4 3 1 0    97.0   99.0
191 1675.093807 7.139E-23 2.861E-01.08440.134 1018.28110.440.000000        2 1 1 0        0 1 1 0                    P 49f     445500 4 2 4 3 1 0    97.0   99.0
191 1675.187533 1.049E-23 8.731E-01.09330.171 1474.93440.850.000000        3 1 1 0        1 1 1 0                    P 22e     3355401115 4 3 1 0    43.0   45.0
191 1675.192178 1.049E-23 8.736E-01.09330.171 1475.04990.850.000000        3 1 1 0        1 1 1 0                    P 22f     3355401115 4 3 1 0    43.0   45.0
191 1675.328167 4.840E-23 8.561E-01.08480.138 1315.02140.470.000000        3 0 0 0        1 0 0 0                    P 47      445500 4 2 4 3 1 0    93.0   95.0
191 1675.364864 1.698E-23 2.925E-01.09390.171 1141.04220.890.000000        2 2 0 0        0 2 0 0                    P 21      445500 4 2 4 3 1 0    41.0   43.0
191 1675.385158 1.734E-23 2.893E-01.09280.172 1153.64190.860.000000        2 2 2 0        0 2 2 0                    P 23e     445500 4 2 4 3 1 0    45.0   47.0
191 1675.385813 1.734E-23 2.893E-01.09280.172 1153.64420.860.000000        2 2 2 0        0 2 2 0                    P 23f     445500 4 2 4 3 1 0    45.0   47.0
191 1675.536457 8.309E-23 2.836E-01.08030.104 1065.01540.300.000000        2 0 0 0        0 0 0 0                    P 72      545500 4 2 4 3 1 0   143.0  145.0
191 1675.555729 7.704E-23 2.856E-01.08460.136  997.87860.450.000000        2 1 1 0        0 1 1 0                    P 48e     445500 4 2 4 3 1 0    95.0   97.0
191 1675.606310 7.704E-23 2.863E-01.08460.136  998.37690.450.000000        2 1 1 0        0 1 1 0                    P 48f     445500 4 2 4 3 1 0    95.0   97.0
191 1675.641278 1.049E-23 8.773E-01.09390.171 1466.02440.860.000000        3 1 1 0        1 1 1 0                    P 21e     3355401115 4 3 1 0    41.0   43.0
191 1675.645052 1.045E-23 8.744E-01.09390.171 1466.12990.860.000000        3 1 1 0        1 1 1 0                    P 21f     3355401115 4 3 1 0    41.0   43.0
191 1675.814237 1.686E-23 2.930E-01.09450.171 1132.49740.890.000000        2 2 0 0        0 2 0 0                    P 20      445500 4 2 4 3 1 0    39.0   41.0
191 1675.837888 1.734E-23 2.895E-01.09330.171 1144.28070.890.000000        2 2 2 0        0 2 2 0                    P 22e     445500 4 2 4 3 1 0    43.0   45.0
191 1675.838418 1.734E-23 2.895E-01.09330.171 1144.28260.890.000000        2 2 2 0        0 2 2 0                    P 22f     445500 4 2 4 3 1 0    43.0   45.0
191 1675.846926 5.203E-23 8.581E-01.08510.140 1296.02820.480.000000        3 0 0 0        1 0 0 0                    P 46      445500 4 2 4 3 1 0    91.0   93.0
191 1676.068439 8.309E-23 2.864E-01.08480.138  978.40020.470.000000        2 1 1 0        0 1 1 0                    P 47e     445500 4 2 4 3 1 0    93.0   95.0
191 1676.092707 1.041E-23 8.787E-01.09450.171 1457.51930.870.000000        3 1 1 0        1 1 1 0                    P 20e     3355401115 4 3 1 0    39.0   41.0
191 1676.095672 1.041E-23 8.791E-01.09450.171 1457.61520.870.000000        3 1 1 0        1 1 1 0                    P 20f     3355401115 4 3 1 0    39.0   41.0
191 1676.115627 9.438E-23 2.838E-01.08040.105 1035.86880.300.000000        2 0 0 0        0 0 0 0                    P 71      545500 4 2 4 3 1 0   141.0  143.0
191 1676.116580 8.309E-23 2.871E-01.08480.138  978.87810.470.000000        2 1 1 0        0 1 1 0                    P 47f     445500 4 2 4 3 1 0    93.0   95.0
191 1676.261501 1.666E-23 2.935E-01.09520.170 1124.35930.890.000000        2 2 0 0        0 2 0 0                    P 19      445500 4 2 4 3 1 0    37.0   39.0
191 1676.288532 1.730E-23 2.901E-01.09390.171 1135.32630.890.000000        2 2 2 0        0 2 2 0                    P 21e     445500 4 2 4 3 1 0    41.0   43.0
191 1676.288955 1.730E-23 2.901E-01.09390.171 1135.32790.890.000000        2 2 2 0        0 2 2 0                    P 21f     445500 4 2 4 3 1 0    41.0   43.0
191 1676.363192 5.566E-23 8.581E-01.08530.142 1277.43830.500.000000        3 0 0 0        1 0 0 0                    P 45      445500 4 2 4 3 1 0    89.0   91.0
191 1676.541822 1.028E-23 8.798E-01.09520.170 1449.41910.880.000000        3 1 1 0        1 1 1 0                    P 19e     3355401115 4 3 1 0    37.0   39.0
191 1676.544039 1.028E-23 8.802E-01.09520.170 1449.50580.880.000000        3 1 1 0        1 1 1 0                    P 19f     3355401115 4 3 1 0    37.0   39.0
191 1676.578866 8.914E-23 2.864E-01.08510.140  959.32670.480.000000        2 1 1 0        0 1 1 0                    P 46e     445500 4 2 4 3 1 0    91.0   93.0
191 1676.624620 8.914E-23 2.871E-01.08510.140  959.78480.480.000000        2 1 1 0        0 1 1 0                    P 46f     445500 4 2 4 3 1 0    91.0   93.0
191 1676.692319 1.069E-22 2.837E-01.08060.106 1007.12540.300.000000        2 0 0 0        0 0 0 0                    P 70      545500 4 2 4 3 1 0   139.0  141.0
191 1676.706656 1.642E-23 2.947E-01.09590.170 1116.62810.900.000000        2 2 0 0        0 2 0 0                    P 18      445500 4 2 4 3 1 0    35.0   37.0
191 1676.737092 1.714E-23 2.900E-01.09450.171 1126.77870.890.000000        2 2 2 0        0 2 2 0                    P 20e     445500 4 2 4 3 1 0    39.0   41.0
191 1676.737424 1.714E-23 2.901E-01.09450.171 1126.78000.890.000000        2 2 2 0        0 2 2 0                    P 20f     445500 4 2 4 3 1 0    39.0   41.0
191 1676.876966 5.969E-23 8.622E-01.08560.144 1259.25180.510.000000        3 0 0 0        1 0 0 0                    P 44      445500 4 2 4 3 1 0    87.0   89.0
191 1676.988622 1.008E-23 8.789E-01.09590.170 1441.72370.880.000000        3 1 1 0        1 1 1 0                    P 18e     3355401115 4 3 1 0    35.0   37.0
191 1676.990154 1.008E-23 8.793E-01.09590.170 1441.80180.880.000000        3 1 1 0        1 1 1 0                    P 18f     3355401115 4 3 1 0    35.0   37.0
191 1677.087010 9.559E-23 2.870E-01.08530.142  940.65830.500.000000        2 1 1 0        0 1 1 0                    P 45e     445500 4 2 4 3 1 0    89.0   91.0
191 1677.130432 9.559E-23 2.876E-01.08530.142  941.09690.500.000000        2 1 1 0        0 1 1 0                    P 45f     445500 4 2 4 3 1 0    89.0   91.0
